category,name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,cim_latitude,cim_longitude,easting,northing
nightclub,Tiger Tiger London,"29 The Haymarket, London, SW1Y 4SP",,,Westminster,www.tigertiger.co.uk,,E09000033,St James's,E05013806,51.509731,-0.132892,529667.0347,180630.0764
nightclub,Bar A Bar,133-135 Stoke Newington Road; Stoke Newington; Lon,Hackney,133-135 Stoke Newi,Hackney,www.barabar.info/,1.00E+11,E09000012,Stoke Newington,E05009385,51.556337,-0.074701,533568.5304,185917.4053
nightclub,Moustache Bar,58 Stoke Newington Road; Dalston; London N16 7XB; ,Hackney,58 Stoke Newington,Hackney,www.moustachebar.co.uk/,1.00E+11,E09000012,Shacklewell,E05009382,51.552327,-0.074798,533573.5325,185471.3087
nightclub,Printworks,"1 Surrey Quays Road, London, SE16 7PJ, United King",,1 Surrey Quays Roa,Southwark,http://www.printworksuk.com,,E09000028,Surrey Docks,E05011117,51.497523,-0.043516,535905.1596,179434.5809
nightclub,Ridley Road Market Bar,49 Ridley Road; London E8 2NP; United Kingdom,Hackney,49 Ridley Road,Hackney,www.ridleyroadmarketbar.com/,1.00E+11,E09000012,Dalston,E05009370,51.548193,-0.073243001,533693.433,185014.4432
nightclub,Studio 338,338 Boord Street; Greenwich; London SE10 0PF; Unit,Greenwich,338 Tunnel Avenue,Greenwich,www.studio338.co.uk/,1.00E+11,E09000011,Greenwich Peninsula,E05014082,51.495442,0.00482,539266.455,179293.9984
nightclub,Loop Bar & Nightclub,"19 Dering Street, London, W1S 1AH, UK",City Of Westminster,19 Dering Street,Westminster,www.theloopbar.co.uk/,1.00E+11,E09000033,West End,E05013808,51.514164,-0.145458,528782.5731,181100.8634
nightclub,Tasty Bakery (Tasties),"207 Rye Lane, Peckham, London SE15 4TP",Southwark,207 Rye Lane,Southwark,,2.00E+11,E09000028,Rye Lane,E05011113,51.467718,-0.066488,534398.2575,176077.8911
nightclub,Trafik,331 Old St; Hoxton; London EC1 9LE; United Kingdom,Hackney,331 Old Street,Hackney,www.trafik-london.com,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.527011,-0.080557001,533248.1527,182645.583
nightclub,The Lighthouse,Unit 1a 190 New North Road,Islington,Unit 1a 190 New No,Hackney,,10091889776,E09000012,Hoxton East & Shoreditch,E05009377,51.52564358,-0.078042927,533426.5337,182498.106
nightclub,Xoyo,32-37 Cowper Street; Shoreditch; London EC2A 4AP; ,Islington,32-37 Cowper Stree,Islington,www.xoyo.co.uk,5300025027,E09000019,Bunhill,E05013699,51.525519,-0.085704,532895.4816,182470.3086
nightclub,Basing House,25 Kingsland Road; Shoreditch; London E2 8AA; Unit,Hackney,25 Kingsland Road,Hackney,www.basinghouse.co.uk/,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.52844,-0.078204,533407.189,182808.7784
nightclub,Beduin,57-59 Charterhouse Street,Islington,57-59 Charterhouse,City of London,www.beduinbar.co.uk/smithfields,,E09000001,Farringdon Without,E05009305,51.5187,-0.101943545,531788.6861,181682.6653
